Test,D1,D2,D3,D4,P1,P2,P3,P4,t1,t2,Fy1,Fy2,Fu1,Fu2,major_thread_diameter,screw_size
54_8_13,1.33E-05,1.33E-05,0.001037316,0.015110941,420.4670578,974.8517245,1051.167596,105.1167596,,,,,,,,8
54_8_19,7.70E-05,0.000522761,0.003822294,0.014158546,713.2669278,1381.968436,1783.149492,178.3149492,,,,,,,,
54_8_30,0.000102546,0.004176132,0.012164893,0.023208515,1932.073954,4193.726231,4830.108388,483.0108388,,,,,,,,
54_10_13,1.41E-05,1.41E-05,0.000836079,0.011303854,446.1103053,974.0914999,1115.275712,111.5275712,,,,,,,,
54_10_19,0.000215604,0.000269925,0.002857678,0.015750104,690.4040487,1432.720352,1725.996396,172.5996396,,,,,,,,
54_10_30,6.19E-05,0.001385651,0.006577185,0.017580958,1408.238169,2927.025967,3520.568227,352.0568227,,,,,,,,
97_10_13,2.08E-05,2.08E-05,2.08E-05,0.008743705,676.2581923,1352.516385,1690.645481,169.0645481,,,,,,,,
97_10_19,4.66E-05,5.11E-05,0.002344877,0.015801816,618.8167733,1396.678455,1547.02885,154.702885,,,,,,,,
97_12_30,1.72E-05,1.73E-05,0.004518001,0.016013223,1240.689684,2588.506638,3101.724028,310.1724028,,,,,,,,
97_8_30,1.72E-05,1.72E-05,0.004571195,0.015435365,1239.33027,2423.063726,3098.325551,309.8325551,,,,,,,,
97_10_30,6.77E-05,0.0004242,0.004842789,0.01740781,1283.904094,2606.906917,3209.741346,320.9741346,,,,,,,,
97-10-13-97,3.42E-05,0.001182068,0.003412549,0.016448775,1111.791531,2386.750998,2779.478566,277.9478566,,,,,,,,
97-10-19-97,0.000355613,0.002724634,0.007365035,0.015798527,1324.66686,2802.115776,3311.605278,331.1605278,,,,,,,,
97-10-30-97,0.000513849,0.003034116,0.009680727,0.020089659,1914.768023,4181.99266,4786.73549,478.673549,,,,,,,,
97-12-30-97,0.00035118,0.00274776,0.009593174,0.022838433,2074.49924,4537.747374,5186.084561,518.6084561,,,,,,,,
97-24-30-97,5.45E-05,0.002819856,0.009932187,0.025391985,2087.530191,4706.880619,5218.737021,521.8737021,,,,,,,,
118-24-30-118,7.62E-05,0.00261292,0.010275494,0.028276002,1948.916194,4308.063573,4872.374805,487.2374805,,,,,,,,
188-12-30,3.55E-05,0.000550915,0.001458392,0.018034299,1459.109655,3133.630671,3647.760774,364.7760774,,,,,,,,
188-24-30,5.56E-05,0.000575922,0.003918255,0.017763055,1872.03861,4019.144705,4680.073043,468.0073043,,,,,,,,
375-19-30,9.54E-05,0.000911948,0.004160469,0.016540731,2031.554783,4516.247168,5078.947907,507.8947907,,,,,,,,